SpeciesA,SpeciesB,KL
Human,Human,0
Human,Mouse,0.0108059
Human,XT,0.0325751
Human,XL,0.0524272
Human,ZF,0.0321156
Human,Fly,0.0933345
Mouse,Human,0.0108059
Mouse,Mouse,0
Mouse,XT,0.0233358
Mouse,XL,0.0322451
Mouse,ZF,0.0231885
Mouse,Fly,0.0760713
XT,Human,0.0325751
XT,Mouse,0.0233358
XT,XT,0
XT,XL,0.00545083
XT,ZF,0.00370093
XT,Fly,0.0757675
XL,Human,0.0524272
XL,Mouse,0.0322451
XL,XT,0.00545083
XL,XL,0
XL,ZF,0.0123083
XL,Fly,0.0989
ZF,Human,0.0321156
ZF,Mouse,0.0231885
ZF,XT,0.00370093
ZF,XL,0.0123083
ZF,ZF,0
ZF,Fly,0.0591167
Fly,Human,0.0933345
Fly,Mouse,0.0760713
Fly,XT,0.0757675
Fly,XL,0.0989
Fly,ZF,0.0591167
Fly,Fly,0
